[2022-05-09 06:22:34,602] 2가 식별 되었습니다.
[2022-05-09 06:22:35,196] 1가 식별 되었습니다.
[2022-05-09 06:22:36,197] 1가 식별 되었습니다.
[2022-05-09 06:22:36,985] 1가 식별 되었습니다.
[2022-05-09 06:22:37,626] 1가 식별 되었습니다.
[2022-05-09 06:22:38,214] 1가 식별 되었습니다.
[2022-05-09 06:22:38,987] 2가 식별 되었습니다.
[2022-05-09 06:22:39,671] 1가 식별 되었습니다.
[2022-05-09 06:22:40,317] 2가 식별 되었습니다.
[2022-05-09 06:22:40,971] 2가 식별 되었습니다.
[2022-05-09 06:22:41,555] 2가 식별 되었습니다.
[2022-05-09 06:22:42,800] 1가 식별 되었습니다.
