[2022-05-23 05:40:07,868] 1가 식별 되었습니다.
[2022-05-23 05:40:12,548] 2가 식별 되었습니다.
[2022-05-23 05:40:17,216] 2가 식별 되었습니다.
[2022-05-23 05:40:21,856] 2가 식별 되었습니다.
[2022-05-23 05:40:26,524] 2가 식별 되었습니다.
[2022-05-23 05:40:31,107] 1가 식별 되었습니다.
[2022-05-23 05:40:35,697] 2가 식별 되었습니다.
[2022-05-23 05:40:40,322] 1가 식별 되었습니다.
[2022-05-23 05:40:44,944] 1가 식별 되었습니다.
