[2022-05-17 12:57:23,288] 1가 식별 되었습니다.
[2022-05-17 12:57:27,932] 1가 식별 되었습니다.
[2022-05-17 12:57:32,980] 1가 식별 되었습니다.
[2022-05-17 12:57:37,622] 1가 식별 되었습니다.
[2022-05-17 12:57:44,020] 2가 식별 되었습니다.
[2022-05-17 12:57:48,660] 1가 식별 되었습니다.
[2022-05-17 12:57:53,292] 2가 식별 되었습니다.
[2022-05-17 12:57:57,903] 1가 식별 되었습니다.
[2022-05-17 12:58:02,525] 2가 식별 되었습니다.
